trial,time_s,valid,left_points,right_points,corridor_width_m,safety_margin_m,confidence,row_yaw_rad,center_offset_m,left_slope,left_intercept_m,right_slope,right_intercept_m,line_lost_count,path_points,row_yaw_deg
trial_02,82.21942927,1.0,492.0,328.0,0.8785876035690308,0.24234738945960999,0.9413472414016724,0.0008576689288020134,0.002876788377761841,0.0,0.43553727865219116,0.0,-0.4297837018966675,0.0,21.0,0.04914080983986166
trial_02,82.491884514,1.0,401.0,517.0,0.8767200708389282,0.21992844343185425,0.9380055665969849,-0.0009763101115822792,0.0024047046899795532,0.0,0.43510642647743225,0.0,-0.43029701709747314,0.0,21.0,-0.05593844888961107
trial_02,82.75490711200001,1.0,506.0,471.0,0.8934508562088013,0.24935701489448547,0.9390175342559814,-0.0023365113884210587,0.0018840879201889038,0.0,0.4347062110900879,0.0,-0.4309380352497101,0.0,21.0,-0.13387224134077882
trial_02,83.02133263600001,1.0,463.0,531.0,0.8975539207458496,0.2525871694087982,0.9350810050964355,-0.003216731594875455,0.001229017972946167,0.0,0.4331536591053009,0.0,-0.43069562315940857,0.0,21.0,-0.1843051442127497
trial_02,83.28533693600001,1.0,536.0,371.0,0.8823531866073608,0.2476036250591278,0.9411102533340454,-0.00371496076695621,0.0013872087001800537,0.0,0.43285226821899414,0.0,-0.43007785081863403,0.0,19.0,-0.21285157300327423
trial_02,83.57356928,1.0,416.0,413.0,0.8842239379882812,0.24507787823677063,0.9227057695388794,-0.0039054248481988907,0.0030738413333892822,0.0,0.4336431622505188,0.0,-0.42749547958374023,0.0,21.0,-0.22376436100731664
trial_02,83.830740484,1.0,492.0,306.0,0.8681904673576355,0.23216453194618225,0.9220535755157471,0.0011002253741025925,0.003471940755844116,0.0,0.4326935112476349,0.0,-0.42574962973594666,0.0,21.0,0.06303827044928065
trial_02,84.108834481,1.0,398.0,409.0,0.8709418773651123,0.1815173625946045,0.9129118323326111,-2.0568259060382843e-06,0.003984615206718445,0.0,0.4321229159832001,0.0,-0.4241536855697632,0.0,21.0,-0.00011784744360916531
trial_02,84.36297518800001,1.0,484.0,311.0,0.8820339441299438,0.25303593277931213,0.9172112345695496,-0.0008035949431359768,0.006695777177810669,0.0,0.4339904189109802,0.0,-0.4205988645553589,0.0,20.0,-0.04604259867974685
trial_02,84.653677473,1.0,405.0,493.0,0.8918169140815735,0.25387492775917053,0.9370700120925903,-0.0015368768945336342,0.005353063344955444,0.0,0.432684063911438,0.0,-0.4219779372215271,0.0,19.0,-0.08805655968794977
trial_02,84.92382809300001,1.0,507.0,347.0,0.8720557689666748,0.24552449584007263,0.935012936592102,-0.0016973377205431461,0.0071191489696502686,0.0,0.43380939960479736,0.0,-0.4195711016654968,0.0,19.0,-0.09725028779547784
trial_02,85.19033990300001,1.0,430.0,419.0,0.8657971620559692,0.1754678189754486,0.9247725605964661,-0.001871377695351839,0.006790071725845337,0.0,0.4319203495979309,0.0,-0.41834020614624023,0.0,21.0,-0.10722204381857911
trial_02,85.44100493,1.0,511.0,403.0,0.8851054310798645,0.24546942114830017,0.9278500080108643,-0.0019550547003746033,0.006770193576812744,0.0,0.4337249994277954,0.0,-0.4201846122741699,0.0,21.0,-0.11201638304867849
trial_02,85.71521491,1.0,405.0,414.0,0.8814810514450073,0.24933072924613953,0.9333271980285645,0.002904385793954134,0.0083484947681427,0.0,0.4364050626754761,0.0,-0.4197080731391907,0.0,21.0,0.16640904807132462
trial_02,85.978440707,1.0,508.0,300.0,0.8882257342338562,0.24740710854530334,0.9379138946533203,0.006731607019901276,0.008015111088752747,0.0,0.43638062477111816,0.0,-0.42035040259361267,0.0,21.0,0.38569267158098064
trial_02,86.245177193,1.0,398.0,430.0,0.8824083209037781,0.24674567580223083,0.9362114667892456,0.005634570959955454,0.007342204451560974,0.0,0.4376634657382965,0.0,-0.42297905683517456,0.0,21.0,0.3228371353724243
trial_02,86.52295772100001,1.0,474.0,334.0,0.8839473724365234,0.2451936900615692,0.9329086542129517,0.00294837006367743,0.006477266550064087,0.0,0.43789196014404297,0.0,-0.4249374270439148,0.0,21.0,0.16892916109143452
trial_02,86.79443048200001,1.0,397.0,463.0,0.8844847083091736,0.23722946643829346,0.9178983569145203,0.004139296244829893,0.004354760050773621,0.0,0.436934232711792,0.0,-0.42822471261024475,0.0,21.0,0.23716420498310317
trial_02,87.04929535000001,1.0,501.0,350.0,0.8721396923065186,0.24209466576576233,0.9308257102966309,0.006594313308596611,0.0031954944133758545,0.0,0.4358097314834595,0.0,-0.42941874265670776,0.0,21.0,0.3778263213695358
trial_02,87.32457011000001,1.0,411.0,472.0,0.8755313158035278,0.24393823742866516,0.9349839091300964,0.0033811377361416817,0.0019235014915466309,0.0,0.4350516200065613,0.0,-0.431204617023468,0.0,19.0,0.19372492223333612
trial_02,87.612982316,1.0,508.0,395.0,0.8892518281936646,0.24684739112854004,0.9281020164489746,0.0010176545474678278,0.0016529262065887451,0.0,0.4357640743255615,0.0,-0.43245822191238403,0.0,21.0,0.05830731057220223
trial_02,87.876528104,1.0,394.0,498.0,0.8889869451522827,0.247854083776474,0.9306672215461731,-0.0055450815707445145,0.0036605149507522583,0.0,0.43848320841789246,0.0,-0.43116217851638794,0.0,20.0,-0.3177097710594339
trial_02,88.182968442,1.0,476.0,381.0,0.8925999402999878,0.2387407422065735,0.9257966876029968,-0.00041124550625681877,0.003121018409729004,0.0,0.4379175901412964,0.0,-0.4316755533218384,0.0,21.0,-0.023562631852236605
trial_02,88.44993476100001,1.0,447.0,536.0,0.8917583227157593,0.2513437271118164,0.9428133964538574,0.003627619706094265,0.0037703216075897217,0.0,0.4385812282562256,0.0,-0.43104058504104614,0.0,20.0,0.20784729883768951
trial_02,88.712245925,1.0,524.0,466.0,0.8780547380447388,0.24824348092079163,0.9464077949523926,0.0016173231415450573,0.0031144917011260986,0.0,0.43637317419052124,0.0,-0.43014419078826904,0.0,20.0,0.09266579011937123
trial_02,88.974852893,1.0,407.0,567.0,0.8688621520996094,0.1869361400604248,0.9358873963356018,0.00019406341016292572,0.0031175464391708374,0.0,0.435634583234787,0.0,-0.4293994903564453,0.0,21.0,0.011119014360251851
trial_02,89.234783355,1.0,498.0,449.0,0.8876168131828308,0.23849475383758545,0.9284085035324097,-0.0007199877873063087,0.004216134548187256,0.0,0.4366995096206665,0.0,-0.428267240524292,0.0,19.0,-0.041252261513614275
trial_02,89.511786975,1.0,370.0,512.0,0.8936715126037598,0.25183185935020447,0.9393036365509033,-0.0016310829669237137,0.004259094595909119,0.0,0.43634095788002014,0.0,-0.4278227686882019,0.0,20.0,-0.09345417004040525
trial_02,89.78281691500001,1.0,485.0,417.0,0.8968122601509094,0.2628333866596222,0.9385703802108765,-0.001812513917684555,0.0049789100885391235,0.0,0.43676820397377014,0.0,-0.4268103837966919,0.0,21.0,-0.10384939779204731
trial_02,90.05336379500001,1.0,380.0,502.0,0.8786166310310364,0.18803241848945618,0.931563138961792,0.0026918072253465652,0.0038234293460845947,0.0,0.43565696477890015,0.0,-0.42801010608673096,0.0,21.0,0.1542291932751787
trial_02,90.315378595,1.0,471.0,313.0,0.8615639805793762,0.18147385120391846,0.921563446521759,0.0014744452200829983,0.005322515964508057,0.0,0.43579185009002686,0.0,-0.42514681816101074,0.0,20.0,0.08447948823399361
trial_02,90.604803187,1.0,402.0,495.0,0.8735412359237671,0.2012740969657898,0.9232383966445923,0.00020914990454912186,0.003477051854133606,0.0,0.43328773975372314,0.0,-0.42633363604545593,0.0,21.0,0.0119834068162287
trial_02,90.867543239,1.0,497.0,314.0,0.865091860294342,0.17257633805274963,0.9194886088371277,0.002668806817382574,0.004874303936958313,0.0,0.4331200420856476,0.0,-0.42337143421173096,0.0,21.0,0.1529113669717629
trial_02,91.128686579,1.0,416.0,425.0,0.8917929530143738,0.25386765599250793,0.9377947449684143,0.0009145643562078476,0.006279453635215759,0.0,0.43441444635391235,0.0,-0.42185553908348083,0.0,21.0,0.05240067770380892
trial_02,91.38788170900001,1.0,490.0,358.0,0.8799170255661011,0.254607230424881,0.9366635680198669,0.0022301836870610714,0.007705658674240112,0.0,0.43465834856033325,0.0,-0.419247031211853,0.0,20.0,0.12778011280752413
trial_02,91.673248795,1.0,399.0,421.0,0.8652161359786987,0.17434486746788025,0.9299821257591248,-0.0006203055381774902,0.007041797041893005,0.0,0.43344441056251526,0.0,-0.41936081647872925,0.0,20.0,-0.03554088934616135
trial_02,91.94274420400001,1.0,511.0,351.0,0.8651965260505676,0.2171231210231781,0.9285179972648621,-0.002951947506517172,0.008074074983596802,0.0,0.4342983365058899,0.0,-0.4181501865386963,0.0,21.0,-0.16913413346760103
trial_02,92.217582785,1.0,420.0,419.0,0.8902360200881958,0.2537141442298889,0.9231857061386108,-0.0063703921623528,0.007817640900611877,0.0,0.43469181656837463,0.0,-0.4190565347671509,0.0,21.0,-0.3649965847460338
trial_02,92.48816623,1.0,507.0,329.0,0.8810703754425049,0.20102006196975708,0.9323984980583191,-0.011490900069475174,0.007029905915260315,0.0,0.4343690872192383,0.0,-0.42030927538871765,0.0,21.0,-0.6583800767875119
trial_02,92.75471942300001,1.0,404.0,486.0,0.8827689290046692,0.25134745240211487,0.9259671568870544,-0.010328658856451511,0.0034225434064865112,0.0,0.4340090751647949,0.0,-0.4271639883518219,0.0,21.0,-0.5917885605050908
trial_02,93.01858292300001,1.0,509.0,321.0,0.883760929107666,0.248477041721344,0.9389825463294983,-0.015093253925442696,0.002499788999557495,0.0,0.4344279170036316,0.0,-0.4294283390045166,0.0,21.0,-0.864779749047129
trial_02,93.27750443800001,1.0,387.0,404.0,0.8684336543083191,0.18187645077705383,0.9380343556404114,-0.01429644413292408,0.0009525418281555176,0.0,0.43425071239471436,0.0,-0.4323456287384033,0.0,19.0,-0.8191259108611175
trial_02,93.55853788600001,1.0,510.0,321.0,0.8643409013748169,0.2467578649520874,0.9373722076416016,-0.018746815621852875,0.001789867877960205,0.0,0.43546903133392334,0.0,-0.43188929557800293,0.0,21.0,-1.0741134144420896
trial_02,93.82027442500001,1.0,397.0,471.0,0.8773444294929504,0.24597996473312378,0.9332844614982605,-0.026928342878818512,0.0014198124408721924,0.0,0.4365385174751282,0.0,-0.4336988925933838,0.0,20.0,-1.542880396237466
trial_02,94.093596836,1.0,496.0,375.0,0.8825665712356567,0.24329805374145508,0.9342311024665833,-0.01843060553073883,-0.00044673681259155273,0.0,0.43588095903396606,0.0,-0.43677443265914917,0.0,21.0,-1.0559959107818075
trial_02,94.354826579,1.0,420.0,496.0,0.8931621313095093,0.24279406666755676,0.9427750706672668,-0.016811363399028778,-0.0016338974237442017,0.0,0.43585166335105896,0.0,-0.43911945819854736,0.0,21.0,-0.963220170625055
trial_02,94.646454008,1.0,538.0,388.0,0.8902153968811035,0.24092969298362732,0.9401770234107971,-0.015536453574895859,-0.00391744077205658,0.0,0.43429943919181824,0.0,-0.4421343207359314,0.0,21.0,-0.8901732184424728
trial_02,94.905997802,1.0,405.0,505.0,0.8948542475700378,0.249575674533844,0.9449297785758972,-0.0143108069896698,-0.004809901118278503,0.0,0.4340192675590515,0.0,-0.4436390697956085,0.0,20.0,-0.8199488419343982
trial_02,95.170765368,1.0,508.0,400.0,0.8942311406135559,0.2506248354911804,0.9454182386398315,-0.014001556672155857,-0.006028160452842712,0.0,0.4326914846897125,0.0,-0.44474780559539795,0.0,21.0,-0.8022301039277686
trial_02,95.433094067,1.0,403.0,549.0,0.8875995874404907,0.25163236260414124,0.9445844292640686,-0.004915748722851276,-0.007655471563339233,0.0,0.43025141954421997,0.0,-0.44556236267089844,0.0,19.0,-0.28165165496620276
trial_02,95.70301110700001,1.0,519.0,441.0,0.895724892616272,0.2497267723083496,0.9419693946838379,-0.00480257673189044,-0.007455974817276001,0.0,0.43016815185546875,0.0,-0.44508010149002075,0.0,21.0,-0.2751673775250541
trial_02,95.97076036,1.0,441.0,541.0,0.8940569758415222,0.25473013520240784,0.9458058476448059,-0.0032207509502768517,-0.007584810256958008,0.0,0.4299781322479248,0.0,-0.4451477527618408,0.0,21.0,-0.18453543631361286
trial_02,96.25489069000001,1.0,590.0,439.0,0.8899152874946594,0.25026240944862366,0.9442497491836548,-0.006567747797816992,-0.007571965456008911,0.0,0.429599791765213,0.0,-0.44474372267723083,0.0,20.0,-0.3763042297212543
trial_02,96.523568415,1.0,450.0,511.0,0.8862282633781433,0.24286314845085144,0.9402448534965515,-0.004445937927812338,-0.007930055260658264,0.0,0.42835286259651184,0.0,-0.44421297311782837,0.0,21.0,-0.2547334792407858
trial_02,96.788067704,1.0,520.0,348.0,0.8804667592048645,0.23577246069908142,0.9463689923286438,-0.0047816620208323,-0.007606402039527893,0.0,0.4283270835876465,0.0,-0.44353988766670227,0.0,21.0,-0.2739690528516871
trial_02,97.062454875,1.0,412.0,404.0,0.8822870850563049,0.252297967672348,0.9332047700881958,0.0007455945014953613,-0.006724432110786438,0.0,0.4280994236469269,0.0,-0.44154828786849976,0.0,20.0,0.04271941816384475
trial_02,97.32420414100001,1.0,499.0,304.0,0.876128077507019,0.23293045163154602,0.9218441247940063,0.0023466891143471003,-0.006550192832946777,0.0,0.42706674337387085,0.0,-0.4401671290397644,0.0,21.0,0.13445538208138189
trial_02,97.614651859,1.0,409.0,418.0,0.8858153820037842,0.2596933841705322,0.9295986890792847,0.003600486321374774,-0.006076157093048096,0.0,0.42750847339630127,0.0,-0.43966078758239746,0.0,21.0,0.20629267040935792
